month,state,state_id,county,county_fips,city,population,cases,deaths,lat,lng
July,Oregon,OR,Multnomah,41051,Portland,2074775,100369,2404,45.5372,-122.65
July,Pennsylvania,PA,Allegheny,42003,Pittsburgh,1703266,173671,6420,40.4396,-79.9762
July,Pennsylvania,PA,Berks,42011,Reading,267155,148670,11112,40.34,-75.9267
July,Pennsylvania,PA,Dauphin,42043,Harrisburg,442289,73278,4590,40.2752,-76.8843
July,Pennsylvania,PA,Lackawanna,42069,Scranton,384250,55519,6509,41.4044,-75.6649
July,Pennsylvania,PA,Lancaster,42071,Lancaster,401524,153841,11970,40.0421,-76.3012
July,Pennsylvania,PA,Lehigh,42077,Allentown,683794,139672,10056,40.5961,-75.4756
July,Pennsylvania,PA,Philadelphia,42101,Philadelphia,5649300,871657,51212,40.0077,-75.1339
July,Rhode Island,RI,Providence,44007,Providence,1203230,421198,24250,41.823,-71.4187
July,South Carolina,SC,Charleston,45019,Charleston,628377,258957,2617,32.8153,-79.9628
July,South Carolina,SC,Greenville,45045,Greenville,484465,239524,3800,34.8353,-82.3647
July,South Carolina,SC,Horry,45051,Myrtle Beach,275579,189999,2527,33.7096,-78.8843
July,South Carolina,SC,Richland,45079,Columbia,560041,173590,3281,34.0376,-80.9037
July,Tennessee,TN,Davidson,47037,Nashville,1081903,496152,4857,36.1715,-86.7843
July,Tennessee,TN,Hamilton,47065,Chattanooga,415501,122722,1220,35.0657,-85.2488
July,Tennessee,TN,Knox,47093,Knoxville,586048,68214,504,35.9692,-83.9496
July,Tennessee,TN,Shelby,47157,Memphis,1066967,476908,7283,35.1046,-89.9773
July,Texas,TX,Bell,48027,Killeen,258009,73904,532,31.0754,-97.7296
July,Texas,TX,Bexar,48029,San Antonio,2049293,801393,7977,29.4658,-98.5253
July,Texas,TX,Collin,48085,Plano,287677,151436,1933,33.0502,-96.7487
July,Texas,TX,Dallas,48113,Dallas,5743938,1152877,15678,32.7936,-96.7662
July,Texas,TX,Denton,48121,Denton,457177,146167,1419,33.2176,-97.1419
July,Texas,TX,El Paso,48141,El Paso,843386,322845,5545,31.8479,-106.4309
July,Texas,TX,Harris,48201,Houston,5464251,1602774,18544,29.7863,-95.3889
July,Texas,TX,Hidalgo,48215,McAllen,804114,321363,8424,26.2273,-98.2471
July,Texas,TX,Lubbock,48303,Lubbock,267648,126327,1967,33.5659,-101.8878
July,Texas,TX,Nueces,48355,Corpus Christi,342464,231780,2514,27.726,-97.3755
July,Texas,TX,Tarrant,48439,Fort Worth,909585,628107,8999,32.7811,-97.3473
July,Texas,TX,Travis,48453,Austin,1687311,499969,6021,30.3004,-97.7522
July,Texas,TX,Webb,48479,Laredo,262079,110774,1991,27.5629,-99.4875
July,Utah,UT,Salt Lake,49035,Salt Lake City,1098526,482511,4289,40.7777,-111.9306
July,Utah,UT,Utah,49049,Provo,500617,182722,878,40.2457,-111.6457
July,Utah,UT,Weber,49057,Ogden,578523,55654,578,41.2278,-111.9682
